no,venue_name,venue_lat,venue_lng,venue_address,venue_city,venue_checkinsCount,url,Category
1,Max SoHa,40.811205,-73.957782,1274 Amsterdam Ave,New York,2006,http://www.maxsoha.com,Food & Cafe
2,Jackson Diner,40.74778552,-73.8915079,37-47 74th St,Jackson Heights,2838,http://jacksondiner.com,Food & Cafe
3,The Dead Poet,40.78482,-73.977128,450 Amsterdam Ave,New York,11009,http://thedeadpoet.com,Bar
4,The Original Chinatown Ice Cream Factory ,40.71559949,-73.99817377,65 Bayard St,New York,14170,http://www.chinatownicecreamfactory.com,Food & Cafe
5,Cafe Lalo,40.78588626,-73.97688778,201 W 83rd St,New York,11746,http://cafelalo.com,Food & Cafe
6,1020 Bar,40.803132,-73.964,1020 Amsterdam Ave,New York,7088,NA,Bar
7,Joe's Shanghai ,40.76298166,-73.97588339,24 W 56th St,New York,9326,http://joeshanghairestaurants.com,Food & Cafe
8,City Hall Park,40.713435,-74.006141,17 Park Row,New York,22413,http://nyc.gov/parks,Entertainment & Others
9,Golden Unicorn Restaurant ,40.71350245,-73.99720877,18 E Broadway,New York,13213,http://www.goldenunicornrestaurant.com,Food & Cafe
10,Loreley Restaurant & Biergarten,40.72112804,-73.99304867,7 Rivington St,New York,18986,http://www.loreleynyc.com,Food & Cafe
11,Washington Square Park,40.73076295,-73.99738312,W 4th St,New York,131112,http://nyc.gov/parks,Entertainment & Others
12,Madison Square Park,40.74218831,-73.98792419,Madison Ave,New York,130630,http://nyc.gov/parks,Entertainment & Others
13,New Wonjo,40.74789975,-73.9869543,23 W 32nd St,New York,14588,http://www.newwonjo.com,Food & Cafe
14,San Francisco International Airport (SFO),37.61865062,-122.3810005,N McDonnell Rd,San Francisco,1487027,http://flysfo.com,Transportation
15,Macy's,40.75061379,-73.98856401,151 W 34th St,New York,181678,http://www.macys.com,Shopping
16,Chelsea Market,40.74224172,-74.0054512,75 9th Ave,New York,126763,http://chelseamarket.com,Food & Cafe
17,Mandoo Bar,40.747433,-73.985876,2 W 32nd St,New York,7421,http://mandoobarnyc.com,Food & Cafe
18,Philadelphia Museum of Art,39.96572412,-75.18122435,2600 Benjamin Franklin Pkwy,Philadelphia,28577,http://www.philamuseum.org,Entertainment & Others
19,Space Needle,47.6204909,-122.3493505,400 Broad St,Seattle,51170,http://www.spaceneedle.com,Entertainment & Others
20,The Heights Bar & Grill,40.80516757,-73.96602866,2867 Broadway,New York,9184,http://www.theheightsnyc.com,Bar
21,Latitude Bar & Grill,40.760937,-73.9875069,783 8th Ave,New York,14340,http://www.latitudebarnyc.com,Bar
22,Stout,40.74985776,-73.99004761,133 W 33rd St,New York,34466,http://www.stoutnyc.com,Bar
23,The Metropolitan Museum of Art,40.77893666,-73.9622982,1000 5th Ave,New York,164641,http://www.metmuseum.org,Entertainment & Others
24,Boston Common,42.35499207,-71.06609344,Tremont St,Boston,65100,http://www.cityofboston.gov/parks,Food & Cafe
25,New York Penn Station,40.7507948,-73.99357639,1 Penn Plz,New York,936827,NA,Transportation
26,Sapporo,40.76023225,-73.98345709,152 W 49th St,New York,8484,http://www.sapporo-nyc.com,Food & Cafe
27,Symphony Space,40.79389198,-73.97243321,2537 Broadway,New York,6821,http://www.symphonyspace.org,Entertainment & Others
28,United Nations,40.74922394,-73.96867275,760 United Nations Plz,New York,22587,http://www.un.org,Office
29,John F. Kennedy International Airport (JFK),40.64508936,-73.78452301,at JFK Access Rd,New York,1118170,http://www.panynj.gov/airports/jfk.html,Transportation
30,Devi,40.73826648,-73.99113226,8 E 18th St,New York,2592,http://www.devinyc.com,Food & Cafe
31,Cocola Bakery,37.32188146,-121.948092,333 Santana Row #1045,San Jose,6086,http://www.cocolabakery.com,Food & Cafe
32,Bloomberg,40.76173158,-73.96798611,731 Lexington Ave,New York,39082,http://www.bloomberg.net,Office
33,Bronx Zoo,40.84852098,-73.87776173,2300 Southern Blvd,Bronx,29016,http://www.bronxzoo.com,Entertainment & Others
34,Buddakan,40.74185967,-74.00508642,75 9th Ave,New York,20399,http://www.buddakannyc.com,Food & Cafe
35,Google New York,40.7411292,-74.0028737,76 9th Ave,New York,70591,http://www.google.com/about/locations/new-york,Office
36,City Island Nautical Museum,40.84757404,-73.784572,190 Fordham St,Bronx,148,http://cityislandmuseum.org,Entertainment & Others
37,Buddha Bodai ,40.71382765,-73.99870173,5 Mott St,New York,3570,http://www.chinatownvegetarian.com ,Food & Cafe
